


hit index// stereo angles (*itH)->dxDy()//weight (*itH)->w()//(*itH)->z()-m_geoTool->rReference // track.delta(*iH) // track.distance(*itH)
 For a new Track : 
 5 0 51.0204 -664.4 0 -0.00375366
 6 -0.0874939 51.0204 140.8 85.9465 -7.51979
 7 0.0874939 82.6446 79.2002 87.162 7.62614
 8 -0.0874901 51.0204 825.8 96.6564 -8.45648
 9 0.0874863 51.0204 764.2 104.169 9.11333
 10 -0.0874939 82.6446 -541.2 89.8469 -7.86105
 For a new Track : 
 1 0 51.0204 887.4 0 0.0565186
 2 0 51.0204 702.6 0 -0.0919037
 3 0 51.0204 202.4 0 0.0610352
 4 0 82.6446 17.5996 0 -0.0135498
 5 0 51.0204 -664.4 0 -0.00369263
 6 -0.0874939 51.0204 140.8 85.947 -7.51984
 7 0.0874939 82.6446 79.2002 87.1615 7.6261
 8 -0.0874901 51.0204 825.8 96.6562 -8.45646
 9 0.0874863 51.0204 764.2 104.169 9.11336
 10 -0.0874939 82.6446 -541.2 89.8465 -7.86102
 For a new Track : 
 1 0 51.0204 887.4 0 0.594872
 2 0 51.0204 702.6 0 -0.566162
 3 0 51.0204 202.4 0 -1.0462
 4 0 82.6446 17.5996 0 -0.575989
 5 0 51.0204 -664.4 0 5.08151
 6 -0.0874939 51.0204 140.8 5.29735 -0.463486
 7 0.0874939 82.6446 79.2002 -13.1172 -1.14767
 8 -0.0874901 51.0204 825.8 -2.65729 0.232487
 9 0.0874863 51.0204 764.2 5.0368 0.440651
 10 -0.0874939 82.6446 -541.2 -37.7759 3.30516
 For a new Track : 
 1 0 51.0204 887.4 0 -0.143509
 2 0 51.0204 702.6 0 -0.23983
 3 0 51.0204 202.4 0 0.0528259
 4 0 82.6446 17.5996 0 0.0294342
 5 0 51.0204 -664.4 0 0.226074
 6 -0.0874939 51.0204 140.8 6.54081 -0.572281
 7 0.0874939 82.6446 79.2002 10.4133 0.911102
 8 -0.0874901 51.0204 825.8 -5.68031 0.496971
 9 0.0874863 51.0204 764.2 0.108921 0.00952911
 10 -0.0874939 82.6446 -541.2 33.3052 -2.914
 For a new Track : 
 1 0 51.0204 887.4 0 0.0563889
 2 0 51.0204 702.6 0 -0.0920029
 3 0 51.0204 202.4 0 0.0609283
 4 0 82.6446 17.5996 0 -0.0136261
 5 0 51.0204 -664.4 0 -0.0037384
 6 -0.0874939 51.0204 140.8 6.64336 -0.581253
 7 0.0874939 82.6446 79.2002 10.1158 0.885071
 8 -0.0874901 51.0204 825.8 -7.76647 0.679489
 9 0.0874863 51.0204 764.2 1.99669 0.174683
 10 -0.0874939 82.6446 -541.2 35.549 -3.11032
 For a new Track : 
 1 0 51.0204 887.4 0 -0.134575
 2 0 51.0204 702.6 0 -0.407928
 3 0 51.0204 202.4 0 -0.0828094
 4 0 82.6446 17.5996 0 0.0946655
 5 0 51.0204 -664.4 0 1.91565
 6 -0.0874939 51.0204 140.8 -5.01587 0.438858
 7 0.0874939 82.6446 79.2002 -3.94646 -0.345291
 8 -0.0874901 51.0204 825.8 1.87949 -0.164436
 9 0.0874863 51.0204 764.2 3.85384 0.337158
 10 -0.0874939 82.6446 -541.2 -13.1939 1.15439
 For a new Track : 
 1 0 51.0204 887.4 0 -0.143661
 2 0 51.0204 702.6 0 -0.240639
 3 0 51.0204 202.4 0 0.0501404
 4 0 82.6446 17.5996 0 0.0258179
 5 0 51.0204 -664.4 0 0.219086
 6 -0.0874939 51.0204 140.8 -1.36031 0.119019
 7 0.0874939 82.6446 79.2002 1.42919 0.125046
 8 -0.0874901 51.0204 825.8 -2.38461 0.20863
 9 0.0874863 51.0204 764.2 2.38711 0.208839
 10 -0.0874939 82.6446 -541.2 14.2609 -1.24774
 For a new Track : 
 1 0 51.0204 887.4 0 0.0564117
 2 0 51.0204 702.6 0 -0.0920029
 3 0 51.0204 202.4 0 0.0610046
 4 0 82.6446 17.5996 0 -0.0136719
